date,wind_speed,humidity,temperature
01-12-2008,20,71,16.9
02-12-2008,4,44,17.2
03-12-2008,19,38,21
04-12-2008,11,45,18.1
05-12-2008,7,82,17.8
06-12-2008,19,55,20.6
07-12-2008,20,49,18.1
08-12-2008,6,48,16.3
09-12-2008,7,42,18.3
10-12-2008,15,58,20.1
11-12-2008,17,48,20.4
12-12-2008,15,89,15.9
13-12-2008,28,76,17.4
14-12-2008,24,65,15.8
15-12-2008,4,57,15.9
16-12-2008,24,50,17.3
17-12-2008,11,69,17.2
18-12-2008,6,80,18
19-12-2008,24,47,15.5
20-12-2008,17,45,15.8
21-12-2008,9,56,19.1
22-12-2008,17,38,24.5
23-12-2008,19,54,23.8
24-12-2008,6,55,20.9
25-12-2008,4,49,21.5
26-12-2008,9,45,23.2
27-12-2008,0,41,26.6
28-12-2008,13,56,24.6
29-12-2008,19,49,21.6
30-12-2008,11,78,12.5
31-12-2008,17,48,16.9
01-01-2009,19,46,19.7
02-01-2009,19,44,14.9
03-01-2009,11,43,17.1
04-01-2009,6,41,20.7
05-01-2009,6,41,22.4
06-01-2009,4,33,23.1
07-01-2009,6,34,25.2
08-01-2009,17,43,17.9
09-01-2009,20,38,17.2
10-01-2009,15,36,20.2
11-01-2009,13,52,22.8
12-01-2009,7,48,24.2
13-01-2009,7,51,24.3
14-01-2009,7,40,25.6
15-01-2009,20,34,27.6
16-01-2009,20,46,18
17-01-2009,19,35,16
18-01-2009,17,34,20.9
19-01-2009,2,39,22
20-01-2009,9,36,26.8
21-01-2009,15,48,27.3
22-01-2009,26,60,26.1
23-01-2009,6,43,22.8
24-01-2009,30,41,23.3
25-01-2009,7,44,21.2
26-01-2009,7,48,23.4
27-01-2009,9,48,25.8
28-01-2009,7,45,28.2
29-01-2009,6,38,29
30-01-2009,9,37,29.2
31-01-2009,4,33,29.9
01-02-2009,15,27,32.4
02-02-2009,19,32,28.8
03-02-2009,13,51,27.2
04-02-2009,11,53,25.5
05-02-2009,7,48,26.5
06-02-2009,6,39,28.7
07-02-2009,9,36,29.6
08-02-2009,9,20,34.5
09-02-2009,7,66,18.7
10-02-2009,20,50,17.4
11-02-2009,19,45,16.7
12-02-2009,11,58,17
13-02-2009,26,41,18
14-02-2009,7,37,18.3
15-02-2009,7,50,19.2
16-02-2009,17,43,21.4
17-02-2009,7,46,18
18-02-2009,4,44,22.1
19-02-2009,4,53,21
20-02-2009,7,45,21.5
21-02-2009,2,63,19.3
22-02-2009,11,49,20.9
23-02-2009,6,48,20.7
24-02-2009,7,54,18.7
25-02-2009,0,49,15
26-02-2009,15,43,20.7
27-02-2009,0,53,20
28-02-2009,6,44,22.2
01-03-2009,4,53,17.3
02-03-2009,6,53,18
03-03-2009,15,58,23
04-03-2009,26,57,15.6
05-03-2009,19,60,13.9
06-03-2009,0,52,12.6
07-03-2009,4,58,13.3
08-03-2009,7,54,17.6
09-03-2009,6,49,18.6
10-03-2009,2,51,20.1
11-03-2009,15,57,21.5
12-03-2009,11,52,22.2
13-03-2009,0,82,19
14-03-2009,9,82,19.9
15-03-2009,11,62,12.7
16-03-2009,2,78,12.2
17-03-2009,9,78,12.1
18-03-2009,6,76,14.7
19-03-2009,6,56,14.7
20-03-2009,7,50,17.4
21-03-2009,0,47,18.8
22-03-2009,4,56,18.1
23-03-2009,0,63,18.8
24-03-2009,6,62,15.4
25-03-2009,11,69,18.3
26-03-2009,0,87,16.2
27-03-2009,0,63,16.5
28-03-2009,2,60,14
29-03-2009,0,60,16
30-03-2009,0,57,17.2
31-03-2009,2,61,17.1
01-04-2009,0,59,16.6
02-04-2009,0,59,18.4
03-04-2009,7,92,19
04-04-2009,0,60,13.9
05-04-2009,6,72,12.9
06-04-2009,13,58,13.8
07-04-2009,7,55,13.3
08-04-2009,7,60,13.8
09-04-2009,9,67,15.1
10-04-2009,6,59,16.4
11-04-2009,6,75,18
12-04-2009,0,88,15.4
13-04-2009,4,65,16.1
14-04-2009,0,68,16.2
15-04-2009,26,44,20.5
16-04-2009,0,65,9.6
17-04-2009,6,59,12.6
18-04-2009,2,73,12.4
19-04-2009,13,54,18
20-04-2009,2,58,14.1
21-04-2009,6,68,12.2
22-04-2009,0,73,11.2
23-04-2009,0,68,12.9
24-04-2009,7,74,14.9
25-04-2009,19,83,13.3
26-04-2009,26,77,9.5
27-04-2009,9,82,7.6
28-04-2009,15,83,10.1
29-04-2009,9,62,8.2
30-04-2009,0,70,7.9
01-05-2009,0,77,7.2
02-05-2009,7,81,10.1
03-05-2009,4,75,10.6
04-05-2009,6,86,9.6
05-05-2009,0,71,10.3
06-05-2009,6,82,10
07-05-2009,6,86,8.3
08-05-2009,0,68,11
09-05-2009,0,78,9.4
10-05-2009,0,69,11.7
11-05-2009,6,89,8.5
12-05-2009,4,81,9.1
13-05-2009,4,86,7.5
14-05-2009,17,77,10.3
15-05-2009,13,82,12.9
16-05-2009,22,82,13
17-05-2009,6,83,7
18-05-2009,0,82,8.8
19-05-2009,0,87,7.4
20-05-2009,2,75,12.4
21-05-2009,0,81,9.4
22-05-2009,4,75,10.1
23-05-2009,6,71,11.9
24-05-2009,0,69,12.5
25-05-2009,9,77,11.6
26-05-2009,2,97,13.6
27-05-2009,0,99,10.1
28-05-2009,0,91,7.1
29-05-2009,0,67,10.2
30-05-2009,0,65,9.6
31-05-2009,0,73,8
01-06-2009,0,88,9.2
02-06-2009,0,78,10.6
03-06-2009,6,85,12.4
04-06-2009,2,99,11.3
05-06-2009,4,86,7.6
06-06-2009,4,99,4.7
07-06-2009,6,93,10
08-06-2009,9,88,10.3
09-06-2009,13,92,6.8
10-06-2009,15,77,4.9
11-06-2009,0,84,2.2
12-06-2009,6,99,1.9
13-06-2009,4,86,5.9
14-06-2009,0,82,6.5
15-06-2009,2,99,5.4
16-06-2009,0,83,6.6
17-06-2009,0,94,5.6
18-06-2009,6,99,4.7
19-06-2009,6,93,5.4
20-06-2009,4,85,7
21-06-2009,4,99,8.3
22-06-2009,4,99,9.1
23-06-2009,11,99,8.3
24-06-2009,7,81,9.6
25-06-2009,2,99,6.9
26-06-2009,7,99,8.4
27-06-2009,7,79,10.3
28-06-2009,9,98,9.8
29-06-2009,9,91,10.1
30-06-2009,11,78,13.5
01-07-2009,20,85,9.5
02-07-2009,19,88,8.8
03-07-2009,17,82,7.8
04-07-2009,15,91,7.9
05-07-2009,9,80,7
06-07-2009,7,99,2.3
07-07-2009,0,91,2.4
08-07-2009,0,84,3.3
09-07-2009,0,84,3.8
10-07-2009,0,93,4.8
11-07-2009,0,96,8.1
12-07-2009,7,77,11.6
13-07-2009,13,82,9
14-07-2009,9,94,7.5
15-07-2009,4,99,5.9
16-07-2009,0,95,3.8
17-07-2009,4,88,4.5
18-07-2009,0,98,3.2
19-07-2009,7,94,7.8
20-07-2009,0,95,7.1
21-07-2009,4,87,6.6
22-07-2009,7,74,11.3
23-07-2009,13,83,8.5
24-07-2009,0,87,3.7
25-07-2009,0,95,2.5
26-07-2009,0,85,4.4
27-07-2009,6,99,4.2
28-07-2009,11,89,8.8
29-07-2009,11,98,9.3
30-07-2009,0,99,6.5
31-07-2009,19,81,11.6
01-08-2009,0,99,8.9
02-08-2009,2,94,10.5
03-08-2009,20,79,9.9
04-08-2009,0,91,5.7
05-08-2009,7,98,8.9
06-08-2009,0,99,8
07-08-2009,35,79,9.8
08-08-2009,6,78,4.4
09-08-2009,2,91,2
10-08-2009,4,72,5.9
11-08-2009,19,62,14.8
12-08-2009,6,99,9.1
13-08-2009,6,94,9.4
14-08-2009,0,99,9
15-08-2009,7,99,6.7
16-08-2009,11,79,11
17-08-2009,20,73,9.8
18-08-2009,0,85,6
19-08-2009,7,99,5.5
20-08-2009,6,78,11.1
21-08-2009,26,72,13.3
22-08-2009,9,90,5.8
23-08-2009,7,94,10.8
24-08-2009,26,68,13.2
25-08-2009,15,75,7.7
